work_order, service_code, service_address, latitude, longitude
348010, "PFI10", "SORREL POND", 44.0638111163713 -123.0722084806
321918, "SFS30", "VAN BUREN ST/W 7TH AVE", 44.0512346753638 -123.109441828038
343151, "PFI10", "WJ- SEC 3 NEAR JEFF", 44.0539054373795 -123.101543858935
347337, "PFI10", "SB: BELOW MEMORIAL ", 44.0609540546806 -123.093700563162
341746, "SFS30", "W 11TH AVE - RANDY PAPE BELTLINE ", 44.0480754536826 -123.172967818313
323855, "SFS30", "W 13TH AVE - TYLER ST", 44.0455342165575 -123.110962014475
356212, "SFS30", "ADAMS ST - W 2ND ALY", 44.0570950253111 -123.107106953122
344170, "PFI10", "5TH ALLEY AND JEFFERSON ", 44.0537472293144 -123.101945925424
326087, "PFI10", "WESTMORELAND NORTH OF CREEK #1", 44.0424207323625 -123.115626750201
352060, "PFI10", "LONE OAK #5", 44.0985827296222 -123.122290385189
342273, "PFI10", "1ST/JEFF #5", 44.05938386605 -123.101607372937
365814, "PFI10", "WB: N JUNGLE", 44.0688498318331 -123.115416496139
344831, "PFI10", "WJ: E BASKETBALL COURT 1", 44.0572838955609 -123.100504541834
335776, "PFI10", "NB: BOAT RAMP 1", 44.0661667399949 -123.107047819973
357681, "PFI10", "SLADDEN- EAST OF RESTROOMS ", 44.0621042717999 -123.107093523981
344825, "PFI10", "WJ: 6TH ON RAMP 1", 44.0535856924294 -123.099659337809
333475, "SFS30", "RIVER RD. ", 44.0963478934536 -123.128508298565
364505, "PFI10", "WHILAMUT NA- HAMMER THROW FIELD #2", 44.0534135138064 -123.071231309759
368459, "SFS30", "VAN BUREN ST/W 7TH AVE", 44.0521584333044 -123.109412459984
333449, "PFI10", "WJ: NE 1ST AND JEFFERSON ", 44.0588532748244 -123.10175132218
344819, "PFI10", "WJ: N 5TH", 44.0547237318375 -123.101129650908
339602, "SFS30", "1400 BLK. JACOBS DR.", 44.0773272790605 -123.150401913509
